station_name
(Bodensee)
(Inn) Bahnhof
-11-
35
A-Magnus-Str.
A.-Fachkliniken
A.-Kasperbauer-Str
A.-Seitz Weg
"Absetz, Gh. Tanneneck"
Abt-Anselm-Straße
Abt-Cölestin-Str.
Abt-Führer-Straße
Abt-Gallus-Str.
Abt-Hörl-Weg
Abt-Petto-Straße
Abtei
Abtenham
Abtschlag
Abtsdorf Ort
Abtsdorf Ortseinfahrt
Abtsee Schloßklinik
Abtsgreuth
Abtsried
Abtstraße
Abtsweg
Abtswind
Abwinkl
Abwinkl (Schiff)
Abzw. Abertshausen
Abzw. Abraham
Abzw. Ackerstr.
Abzw. Adelmannssitz
Abzw. Adelsberg
Abzw. Affalterthal
Abzw. Aham
Abzw. Ahnherrnstr.
Abzw. Ahornstraße
Abzw. Aich
Abzw. Aich (b. Neuendettelsau)
Abzw. Aich/Weihern
Abzw. Aicha (b. Happurg)
Abzw. Aichazandt
Abzw. Aichele
Abzw. Aichen
Abzw. Aichkirchen
Abzw. Aigis
Abzw. Aign
Abzw. Albersberg
Abzw. Allershofen
Abzw. Allgäuhaus
Abzw. Allmannsau
Abzw. Almos
Abzw. Alpenstraße
Abzw. Altdorfweg
Abzw. Altenmarkt
Abzw. Altenricht
Abzw. Altensee
Abzw. Altersberg
Abzw. Alttrauchburg
Abzw. Am Berg
Abzw. Am Hundsrück
Abzw. Am Pfarrfeld
Abzw. Am Südhang
Abzw. Ammelhofen
Abzw. Ammerland
Abzw. Ammersreit
Abzw. Amselstr.
Abzw. An der Lände
Abzw. An der Mühle
Abzw. Anzelstetten
Abzw. Anzing (Dorfen)
Abzw. Appelhof
Abzw. Arbing
Abzw. Arling
Abzw. Arnest
Abzw. Asamweg
Abzw. Aschach
Abzw. Aschau-Wilperting
Abzw. Attenhofen
Abzw. Atzenzell
Abzw. Atzlricht
Abzw. Au (b. Simmelsdorf)
Abzw. Aue (b. Thalmässing)
Abzw. Augenthal
Abzw. Aumühle
Abzw. Aurachstr.
Abzw. Aßlschwang
Abzw. B 13
Abzw. B 17
Abzw. B26
Abzw. B286
Abzw. B4
Abzw. Bahnhof Ranna
Abzw. Baiern
Abzw. Baimbach
Abzw. Baindlkirch
Abzw. Ballertshofen
Abzw. Balzhofen
Abzw. Barnstein
Abzw. Bauschuttdeponie
Abzw. Bauzenweiler
Abzw. Bayernwerk
Abzw. Bechtelsreuth
Abzw. Benzendorf
Abzw. Berbersbach
Abzw. Berg
Abzw. Berg b. Thanstein
Abzw. Bergham/Petersglaim
Abzw. Berghausen
Abzw. Berglarn
Abzw. Berglein
Abzw. Bergmatting
Abzw. Berliner Str.
Abzw. Berndorf
Abzw. Bindlacher Str.
Abzw. Binzwangen
Abzw. Birkach (b. Markt Taschendorf)
Abzw. Birkach (b. Windelsbach)
Abzw. Birken
Abzw. Birkenlach
Abzw. Birkenstr.
Abzw. Birkhof (b. Greding)
Abzw. Bischofsgrün
Abzw. Bittenbrunn
Abzw. Bleichenbach
Abzw. Bleimerschloß
Abzw. Blumenstr.
Abzw. Boden
Abzw. Botzenweiler
Abzw. Brand (Eckental)
Abzw. Brandholz
Abzw. Brandl
Abzw. Braunmühle
Abzw. Brebersdorf
Abzw. Breitbrunn
Abzw. Breitenstein
Abzw. Brodswinden
Abzw. Brombach
Abzw. Bruckmühl/Staatsstr.
Abzw. Brundorf
Abzw. Brunnen
Abzw. Brunoder
Abzw. Brunsthof
Abzw. Brünnberg
Abzw. Bubenheim
Abzw. Buchberg
Abzw. Buchen
Abzw. Buchenthal
Abzw. Buchenöd
Abzw. Buchmühle
Abzw. Buckenreuth
Abzw. Burgellern
Abzw. Burgerroth
Abzw. Burggaillenreuth
Abzw. Burghaig
Abzw. Burgstall (b. Hirschau)
Abzw. Burgstall (b. Rothenb.)
Abzw. Burkardroth/Strenge Tür
Abzw. Burkartshof
Abzw. Buschhof
Abzw. Buschhof (b. Lauterh.)
Abzw. Buschweg
Abzw. Bussardstraße
Abzw. Bux
Abzw. Buxlohe
Abzw. Bäumenheim
Abzw. Böhmfeld
Abzw. Bösenbirkig
Abzw. Bühlstr.
Abzw. Bürgerwald
Abzw. Chr.-Senft-Weg
Abzw. Cronheim
Abzw. Dahlienweg
Abzw. Deinsdorf
Abzw. Deinshof
Abzw. Deisenhofen
Abzw. Demling
Abzw. Dennenlohe (Unterschwan)
Abzw. Dettenhofen
Abzw. Dettenhofen (b. Lupburg)
Abzw. Deutenkofen
Abzw. Dichtlmühle
Abzw. Dickatshof
Abzw. Dieberg
Abzw. Diesenbach
Abzw. Diesenhof
Abzw. Dietenholz
Abzw. Dietersberg
Abzw. Dietlhof
Abzw. Dietmannsried
Abzw. Dingstetten
Abzw. Dionysihof
Abzw. Dirnhart
Abzw. Dobrach
Abzw. Doktorshof (b. Breitbrunn)
Abzw. Dollmannsberg
Abzw. Dombach im Loch
Abzw. Dornberg (b. Ansbach)
Abzw. Drackenstein
Abzw. Dächheim
Abzw. Döhlau
Abzw. Dörflas
Abzw. Dörfles
Abzw. Dörflis
Abzw. Dürrbachau
Abzw. EFA-Str.
Abzw. Ebenhalde
Abzw. Eberau
Abzw. Eberhardsbühl
Abzw. Ebersbach (b. Vilseck)
Abzw. Echerschwang
Abzw. Echsheim
Abzw. Eckarts
Abzw. Eckersbach
Abzw. Eckersdorf
Abzw. Eckmannshofen
Abzw. Ecknach
Abzw. Edlhausen
Abzw. Egerquelle
Abzw. Egersdorf
Abzw. Egg
Abzw. Eggenthal (b.Heidenheim)
Abzw. Eglasmühle
Abzw. Eglhofen
Abzw. Egloffswinden
Abzw. Eglsee
Abzw. Ehrenschwinden/Brunn
Abzw. Ehringsfeld
Abzw. Eichelberg
Abzw. Eichenbirkig
Abzw. Eichenhofen
Abzw. Eichensee
Abzw. Eichenstruth
Abzw. Eichenweg
Abzw. Eichstätt
Abzw. Eidelberg
Abzw. Eilberg
Abzw. Eimersmühle
Abzw. Einthal
Abzw. Eispertshofen
Abzw. Elbersberg
Abzw. Elbersreuth
Abzw. Ellersdorf (b.Freudenb.)
Abzw. Elpersdorf (b. Ansbach)
Abzw. Emmenhausen
Abzw. Enghasling
Abzw. Enslingen/Bühlingen
Abzw. Enzenreuth
Abzw. Eppenhöning
Abzw. Eppenreuth
Abzw. Eresried
Abzw. Erlach
Abzw. Erlenstr.
Abzw. Erlmühle
Abzw. Ernhüll
Abzw. Erzberg
Abzw. Esbachgraben
Abzw. Escherlich
Abzw. Eselsberg/Rauschöd
Abzw. Essenbacher Str.
Abzw. Etsdorf
Abzw. Etzdorf
Abzw. Etzenbach
Abzw. Eybburg
Abzw. Eysölden
Abzw. Fall (B 307)
Abzw. Fernreuth
Abzw. Fessmaierstr.
Abzw. Fichtelberg
Abzw. Fierst
Abzw. Finkenstr.
Abzw. Firma Steiff
Abzw. Fischbachau
Abzw. Fischzucht Rau
Abzw. Fliederweg
Abzw. Flinksberg
Abzw. Flucken
Abzw. Flugplatz
Abzw. Flurstr.
Abzw. Forchtenegg
Abzw. Forstlahm
Abzw. Fraham
Abzw. Frauenberg
Abzw. Frauenhofen
Abzw. Frauenlohe
Abzw. Frauenroth
Abzw. Freienfels
Abzw. Freimann
Abzw. Frengkofen
Abzw. Frensdorf
Abzw. Freudeneck
Abzw. Friedersdorf
Abzw. Friedlmühle
Abzw. Frohnhof
Abzw. Fuchsmühle (b.Freystadt)
Abzw. Fundbergstr.
Abzw. Fährbrück
Abzw. Gabler
Abzw. Gadham
Abzw. Gagers
Abzw. Gaishof
Abzw. Garstadt
Abzw. Gartenweg
Abzw. Gastelshof
Abzw. Gaßenhof
Abzw. Gebersdorf/Weihenzell
Abzw. Gehrsricht
Abzw. Geigenreuth
Abzw. Geiselhöring
Abzw. Geisenhofen
Abzw. Geislareuth
Abzw. Geislohe b. Haundorf
Abzw. Geometerweg
Abzw. Georgenhaag
Abzw. Gereuth
Abzw. Gerhardsberg
Abzw. Germerswang
Abzw. Geroldswind/B 279
Abzw. Gerstland
Abzw. Geschwand
Abzw. Gesees/Blumenau
Abzw. Gestratz
Abzw. Gewerbegebiet
Abzw. Giesering
Abzw. Giffa
Abzw. Gifting (b. Wilhelmsthal)
Abzw. Giggelsberg
Abzw. Giglberg
Abzw. Ginsham
Abzw. Glashofen
Abzw. Glückaufstr.
Abzw. Gmünd
Abzw. Gmündt
Abzw. Goben
Abzw. Goethestraße
Abzw. Goldbühl
Abzw. Gonnersdorf (Cadolz)
Abzw. Gosen
Abzw. Gottesberg (b.Lupburg)
Abzw. Grainbach-Wiedholz
Abzw. Grametshof 3
Abzw. Grasberg
Abzw. Grasfilzing
Abzw. Grashof ROTHSEE
Abzw. Grassersdorf
Abzw. Grauer Berg
Abzw. Greifenstein
Abzw. Gries
Abzw. Grieshof
Abzw. Grießmühl
Abzw. Grimolzhausen
Abzw. Großalbershof
Abzw. Großbettenrain
Abzw. Großenbuch
Abzw. Großmeinfeld
Abzw. Großmühle
Abzw. Grub
Abzw. Grubhof
Abzw. Grubmühle
Abzw. Gräfenbergerhüll
Abzw. Grögling
Abzw. Grünberg
Abzw. Grünreuth
Abzw. Grünseestr.
Abzw. Gudrunsiedlung
Abzw. Gugelmühle
Abzw. Gumpenhof
Abzw. Gumpenweiler (Mfr)
Abzw. Guntersdorf
Abzw. Guntersrieth
Abzw. Gunzendorf (b. Geslau)
Abzw. Gunzenhof
Abzw. Gutenmühle
Abzw. Guttenburg
Abzw. Gämelkofen
Abzw. Göppenbach
Abzw. Görbitz
Abzw. Görchsheim
Abzw. Göring
Abzw. Görisried
Abzw. Günding
Abzw. Günzenhofen
Abzw. Haasgang
Abzw. Habaching
Abzw. Hackenberg
Abzw. Hackenhofen
Abzw. Hacklsberg
Abzw. Haderlsdorf
Abzw. Hadersried
Abzw. Hafendorf
Abzw. Hagelstadt
Abzw. Hagenbach
Abzw. Hagenhof
Abzw. Hagenohe (b. Creußen)
Abzw. Haghof
Abzw. Haid
Abzw. Haid (b. Parsberg)
Abzw. Haidberg
Abzw. Haidholzen
Abzw. Haidmühle
Abzw. Haimendorf
Abzw. Hainhof (b. Kastl)
Abzw. Haldenwang
Abzw. Hallershof
Abzw. Halsbach
Abzw. Hambühl
Abzw. Hammerhaus
Abzw. Hammermühle
Abzw. Hannesreuth
Abzw. Hardtsiedlung
Abzw. Harenzhofen
Abzw. Harlang
